"期間","國外負債-原始值","國外負債-年增率","通貨發行額-原始值","通貨發行額-年增率","政府存款-計-原始值","政府存款-計-年增率","政府存款-經理國庫存款-原始值","政府存款-經理國庫存款-年增率","政府存款-機關存款-原始值","政府存款-機關存款-年增率","金融機構存款-準備性存款-原始值","金融機構存款-準備性存款-年增率","金融機構存款-其他存款-國庫存款轉存款-原始值","金融機構存款-其他存款-國庫存款轉存款-年增率","金融機構存款-其他存款-定期存款轉存款-原始值","金融機構存款-其他存款-定期存款轉存款-年增率","金融機構存款-其他存款-郵政儲金轉存款-原始值","金融機構存款-其他存款-郵政儲金轉存款-年增率","金融機構存款-其他存款-其他-原始值","金融機構存款-其他存款-其他-年增率","央行發行單券-國庫券-原始值","央行發行單券-國庫券-年增率","央行發行單券-定期存單-原始值","央行發行單券-定期存單-年增率","央行發行單券-儲蓄券-原始值","央行發行單券-儲蓄券-年增率","其他負債-原始值","其他負債-年增率","權益-原始值","權益-年增率"
"1987","-","-","341771","-","98865","-","45739","-","53126","-","358840","-","14896","-","144100","-","462445","-","63","-","63399","-","946138","-","177538","-","57822","-","102880","-"
"1988","-","-","387780","-","217587","-","152806","-","64781","-","494695","-","14305","-","129269","-","531103","-","38","-","190742","-","422747","-","141284","-","82447","-","120886","-"
"1989","-","-","425321","9.68100","279404","28.41025","180064","17.83830","99340","53.34743","730710","47.70919","19614","37.11290","53847","-58.34500","660452","24.35479","55","44.73684","33014","-82.69180","367777","-13.00305","14091","-90.02647","41559","-49.59307","128179","6.03296"
"1990","-","-","431718","1.50404","265703","-4.90365","138325","-23.18009","127378","28.22428","725431","-0.72245","25633","30.68726","178862","232.16707","775283","17.38673","40","-27.27273","17708","-46.36215","70000","-80.96673","52","-99.63097","36325","-12.59414","120099","-6.30368"
"1991","-","-","482270","11.70950","154198","-41.96603","54065","-60.91451","100133","-21.38909","783825","8.04956","26242","2.37584","62602","-64.99983","960681","23.91359","51","27.50000","113080","538.58143","186000","165.71429","-","-100.00000","37358","2.84377","127254","5.95758"
"1992","-","-","549668","13.97516","129870","-15.77712","43808","-18.97161","86062","-14.05231","863407","10.15303","27769","5.81892","38587","-38.36139","1029745","7.18907","53","3.92157","47685","-57.83074","134000","-27.95699","-","-","37840","1.29022","129741","1.95436"
"1993","-","-","595262","8.29483","102314","-21.21814","29703","-32.19732","72611","-15.62943","907559","5.11369","16755","-39.66293","22292","-42.22925","1030304","0.05429","16871","31732.07547","-","-100.00000","103000","-23.13433","-","-","23972","-36.64905","145067","11.81277"
"1994","-","-","646193","8.55606","125535","22.69582","50467","69.90540","75068","3.38378","1023642","12.79068","20582","22.84094","22292","-","1060985","2.97786","32","-99.81033","-","-","90600","-12.03883","-","-","50258","109.65293","126333","-12.91403"
"1995","-","-","661313","2.33986","155833","24.13510","75160","48.92900","80673","7.46656","977458","-4.51173","14367","-30.19629","32292","44.85914","995888","-6.13553","44","37.50000","-","-","45000","-50.33113","-","-","78172","55.54141","140169","10.95201"
"1996","-","-","663849","0.38348","137637","-11.67660","60272","-19.80841","77365","-4.10050","988987","1.17949","15318","6.61934","37292","15.48371","925234","-7.09457","16","-63.63636","-","-","125000","177.77778","-","-","58189","-25.56286","190171","35.67265"
"1997","-","-","684311","3.08233","138931","0.94015","63815","5.87835","75116","-2.90700","957447","-3.18912","14240","-7.03747","70292","88.49083","913985","-1.21580","13","-18.75000","-","-","5000","-96.00000","-","-","52057","-10.53807","524135","175.61248"
"1998","-","-","694452","1.48193","127704","-8.08099","66353","3.97712","61351","-18.32499","970886","1.40363","13559","-4.78230","70200","-0.13088","919052","0.55439","10","-23.07692","-","-","190700","3714.00000","-","-","71322","37.00751","596177","13.74493"
"1999","-","-","806939","16.19795","180976","41.71522","93900","41.51583","87076","41.93086","836708","-13.82016","48925","260.83044","131165","86.84473","1017130","10.67165","7","-30.00000","-","-","617235","223.66807","-","-","81990","14.95752","419332","-29.66317"
"2000","-","-","708580","-12.18915","141164","-21.99850","47449","-49.46858","93715","7.62437","895151","6.98487","36762","-24.86050","102550","-21.81603","1045381","2.77752","2","-71.42857","-","-","561785","-8.98361","-","-","132325","61.39163","509682","21.54617"
"2001","-","-","692912","-2.21118","113616","-19.51489","18506","-60.99812","95110","1.48856","781360","-12.71193","30653","-16.61770","429282","318.60751","1176441","12.53706","8","300.00000","-","-","953120","69.65921","-","-","108514","-17.99433","729074","43.04488"
